addr,house_sale_price,latitude,longitude
5340 W DAKIN ST,239000.0,41.9525026,-87.76119672483271
3345 S UNION AVE,366000.0,41.83310685,-87.64345651709591
3343 W DOUGLAS BLVD,110000.0,41.862192699999994,-87.70970453142249
5338 W CORNELIA AVE,295000.0,41.944334600000005,-87.76090769949393
5409 S MULLIGAN AVE,240000.0,41.793907950000005,-87.78037042576531
1204 S 11TH AVE,52000.0,41.876026950866326,-87.84626520794033
2155 W WINDSOR AVE,640000.0,41.963915150000005,-87.68274442537441
4341 N GREENVIEW AVE,879000.0,41.96104855,-87.66748314318961
5026 N MELVINA AVE,380000.0,41.9729192,-87.78336734678419
3016 W MEDILL AVE,505000.0,41.9241601,-87.70312094977018
10923 S NORMAL AVE,20000.0,41.695384950000005,-87.63493005575884
10923 S NORMAL AVE,36000.0,41.695384950000005,-87.63493005575884
7811 S EBERHART AVE,32005.0,41.7526094,-87.61228371920711
3648 W 80TH PL,132700.0,41.747074299999994,-87.7140518841505
2824 W FLETCHER ST,463000.0,41.938696300000004,-87.6988228730032
105 EDGEWOOD CT,245000.0,42.08070845,-88.05095966182628
4330 W HADDON AVE,215000.0,41.901799,-87.73493244928336
7612 VINE ST,391500.0,41.880415,-88.2102397
6457 W 88TH ST,220000.0,41.7338806,-87.6696835
6457 W 88TH ST,120000.0,41.7338806,-87.6696835
819 MEADOW LN,450000.0,41.5122871,-87.6516519
722 N NORTHWEST HWY,371000.0,41.9792464,-87.7757029
3616 KILLARNEY CT,250000.0,42.07386481427912,-88.00455986629584
2101 S 6TH AVE,218000.0,42.301728,-87.8482748
524 W 118TH PL,87000.0,41.6787074,-87.6413421
56 W 76TH ST,25000.0,41.756561399999995,-87.62689358701323
5503 W 63RD PL,105119.0,41.776829750000005,-87.7594365142647
11436 BURR OAK LN,775000.0,42.02527945,-88.0721368852518
3857 N PITTSBURGH AVE,250000.0,41.9501285,-87.83248315457962
1105 S SPRUCEWOOD DR,293000.0,42.04634404667439,-87.9613164914467
1727 W 106TH ST,58000.0,41.70085345,-87.66564620555556
10731 LOMBARD AVE,135000.0,41.69713059861988,-87.7740728398698
7439 S LUELLA AVE,97000.0,41.75966385,-87.56976936978995
8344 S SEELEY AVE,103000.0,41.74158405,-87.67441142569768
3853 N SAINT LOUIS AVE,80000.0,41.9517372,-87.7150331138889
5733 S NEENAH AVE,485000.0,41.7875944,-87.78502694670047
